"ts","delay"
2010-01-01 00:11:52,0.015387
2010-01-01 00:13:00,0.019097
2010-01-01 00:14:49,0.017874
2010-01-01 00:21:00,0.015723
2010-01-01 00:23:05,0.01598
2010-01-01 00:29:00,0.018869
2010-01-01 00:30:00,0.01508
2010-01-01 00:30:36,0.017178
2010-01-01 00:32:00,0.015812
2010-01-01 00:33:00,0.017113
2010-01-01 00:36:40,0.01618
2010-01-01 00:36:55,0.015174
2010-01-01 00:41:00,0.01587
2010-01-01 00:48:17,0.016775
2010-01-01 00:50:49,0.017376
2010-01-01 00:51:00,0.015509
2010-01-01 00:53:00,0.015738
2010-01-01 00:56:00,0.017195
2010-01-01 00:57:00,0.016758
2010-01-01 00:57:35,0.015722
2010-01-01 01:01:00,0.015672
2010-01-01 01:01:37,0.01688
2010-01-01 01:02:07,0.015221
2010-01-01 01:08:32,0.016413
2010-01-01 01:09:00,0.015057
2010-01-01 01:16:00,0.015896
2010-01-01 01:18:47,0.01809
2010-01-01 01:21:00,0.015349
2010-01-01 01:27:34,0.01744
2010-01-01 01:29:07,0.016144
2010-01-01 01:32:30,0.016233
2010-01-01 01:35:36,0.016552
2010-01-01 01:36:00,0.015809
2010-01-01 01:36:41,0.017187
2010-01-01 01:38:00,0.015338
2010-01-01 01:41:10,0.016012
2010-01-01 01:41:33,0.01509
2010-01-01 01:50:00,0.016441
2010-01-01 01:53:29,0.015968
2010-01-01 01:55:03,0.015862
2010-01-01 01:56:00,0.01554
2010-01-01 01:58:00,0.015421
2010-01-01 02:00:00,0.015419
2010-01-01 02:03:33,0.017949
2010-01-01 02:04:19,0.017084
2010-01-01 02:05:00,0.015095
2010-01-01 02:07:00,0.065781
2010-01-01 02:12:25,0.175193
2010-01-01 02:14:00,0.16487
2010-01-01 02:19:00,0.015586
2010-01-01 02:20:32,0.059348
2010-01-01 02:21:00,0.015187
2010-01-01 02:22:16,0.015598
2010-01-01 02:25:00,0.01692
2010-01-01 02:32:00,0.015085
2010-01-01 02:32:53,0.015367
2010-01-01 02:34:00,0.015623
2010-01-01 02:35:00,0.015017
2010-01-01 02:37:10,0.015214
2010-01-01 02:44:00,0.016604
