ts,delay
2020-01-01 00:00:00,0.971943
2020-01-01 00:05:00,0.728132
2020-01-01 00:10:00,0.831559
2020-01-01 00:15:00,1.057183
2020-01-01 00:20:00,0.990446
2020-01-01 00:25:00,0.826438
2020-01-01 00:30:00,0.629542
2020-01-01 00:35:00,0.638147
2020-01-01 00:40:00,0.729998
2020-01-01 00:45:00,0.682348
2020-01-01 00:50:00,0.916566
2020-01-01 00:55:00,0.792643
2020-01-01 01:00:00,0.678350
2020-01-01 01:05:00,0.735944
2020-01-01 01:10:00,0.716247
2020-01-01 01:15:00,0.923682
2020-01-01 01:20:00,0.619925
2020-01-01 01:25:00,0.712563
2020-01-01 01:30:00,0.773441
2020-01-01 01:35:00,0.811126
2020-01-01 01:40:00,1.062343
2020-01-01 01:45:00,0.664779
2020-01-01 01:50:00,0.623138
2020-01-01 01:55:00,0.930600
2020-01-01 02:00:00,0.919263
2020-01-01 02:05:00,0.684298
2020-01-01 02:10:00,0.724200
2020-01-01 02:15:00,0.684548
2020-01-01 02:20:00,0.876527
2020-01-01 02:25:00,0.871538
2020-01-01 02:30:00,1.005322
2020-01-01 02:35:00,0.795584
2020-01-01 02:40:00,0.618569
2020-01-01 02:45:00,0.725762
2020-01-01 02:50:00,0.651561
2020-01-01 02:55:00,0.733168
2020-01-01 03:00:00,0.668490
2020-01-01 03:05:00,0.710669
2020-01-01 03:10:00,0.688316
2020-01-01 03:15:00,0.739326
2020-01-01 03:20:00,0.665885
2020-01-01 03:25:00,0.786932
2020-01-01 03:30:00,0.679656
2020-01-01 03:35:00,0.860279
2020-01-01 03:40:00,0.728522
2020-01-01 03:45:00,0.666639
2020-01-01 03:50:00,0.817632
2020-01-01 03:55:00,0.739841
2020-01-01 04:00:00,0.922640
2020-01-01 04:05:00,0.995510
2020-01-01 04:10:00,0.867319
2020-01-01 04:15:00,0.624435
2020-01-01 04:20:00,0.845094
2020-01-01 04:25:00,0.875125
2020-01-01 04:30:00,0.693830
2020-01-01 04:35:00,0.831184
2020-01-01 04:40:00,0.720303
