ts,delay
2020-01-01 00:00:00,1.136403
2020-01-01 00:05:00,0.892592
2020-01-01 00:10:00,0.996019
2020-01-01 00:15:00,1.221643
2020-01-01 00:20:00,1.154906
2020-01-01 00:25:00,0.990898
2020-01-01 00:30:00,0.794002
2020-01-01 00:35:00,0.802607
2020-01-01 00:40:00,0.894458
2020-01-01 00:45:00,0.846808
2020-01-01 00:50:00,1.081026
2020-01-01 00:55:00,0.957103
2020-01-01 01:00:00,0.842810
2020-01-01 01:05:00,0.900404
2020-01-01 01:10:00,0.880707
2020-01-01 01:15:00,1.088142
2020-01-01 01:20:00,0.784385
2020-01-01 01:25:00,0.877023
2020-01-01 01:30:00,0.937901
2020-01-01 01:35:00,0.975586
2020-01-01 01:40:00,1.226803
2020-01-01 01:45:00,0.829239
2020-01-01 01:50:00,0.787598
2020-01-01 01:55:00,1.095060
2020-01-01 02:00:00,1.083723
2020-01-01 02:05:00,0.848758
2020-01-01 02:10:00,0.888660
2020-01-01 02:15:00,0.849008
2020-01-01 02:20:00,1.040987
2020-01-01 02:25:00,1.035998
2020-01-01 02:30:00,1.169782
2020-01-01 02:35:00,0.960044
2020-01-01 02:40:00,0.783029
2020-01-01 02:45:00,0.890222
2020-01-01 02:50:00,0.816021
2020-01-01 02:55:00,0.897628
2020-01-01 03:00:00,0.832950
2020-01-01 03:05:00,0.875129
2020-01-01 03:10:00,0.852776
2020-01-01 03:15:00,0.903786
2020-01-01 03:20:00,0.830345
2020-01-01 03:25:00,0.951392
2020-01-01 03:30:00,0.844116
2020-01-01 03:35:00,1.024739
2020-01-01 03:40:00,0.892982
2020-01-01 03:45:00,0.831099
2020-01-01 03:50:00,0.982092
2020-01-01 03:55:00,0.904301
2020-01-01 04:00:00,1.087100
2020-01-01 04:05:00,1.159970
2020-01-01 04:10:00,1.031779
2020-01-01 04:15:00,0.788895
2020-01-01 04:20:00,1.009554
2020-01-01 04:25:00,1.039585
2020-01-01 04:30:00,0.858290
2020-01-01 04:35:00,0.995644
2020-01-01 04:40:00,0.884763
2020-01-01 04:45:00,0.947367
2020-01-01 04:50:00,0.822936
2020-01-01 04:55:00,1.140303
2020-01-01 05:00:00,0.843746
2020-01-01 05:05:00,0.892919
2020-01-01 05:10:00,1.157693
2020-01-01 05:15:00,0.994349
2020-01-01 05:20:00,1.168503
