ts,delay
2020-01-01 00:00:00,1.170083
2020-01-01 00:05:00,0.926272
2020-01-01 00:10:00,1.029699
2020-01-01 00:15:00,1.255323
2020-01-01 00:20:00,1.188586
2020-01-01 00:25:00,1.024578
2020-01-01 00:30:00,0.827682
2020-01-01 00:35:00,0.836287
2020-01-01 00:40:00,0.928138
2020-01-01 00:45:00,0.880488
2020-01-01 00:50:00,1.114706
2020-01-01 00:55:00,0.990783
2020-01-01 01:00:00,0.876490
2020-01-01 01:05:00,0.934084
2020-01-01 01:10:00,0.914387
2020-01-01 01:15:00,1.121822
2020-01-01 01:20:00,0.818065
2020-01-01 01:25:00,0.910703
2020-01-01 01:30:00,0.971581
2020-01-01 01:35:00,1.009266
2020-01-01 01:40:00,1.260483
2020-01-01 01:45:00,0.862919
2020-01-01 01:50:00,0.821278
2020-01-01 01:55:00,1.128740
2020-01-01 02:00:00,1.117403
2020-01-01 02:05:00,0.882438
2020-01-01 02:10:00,0.922340
2020-01-01 02:15:00,0.882688
2020-01-01 02:20:00,1.074667
2020-01-01 02:25:00,1.069678
2020-01-01 02:30:00,1.203462
2020-01-01 02:35:00,0.993724
2020-01-01 02:40:00,0.816709
2020-01-01 02:45:00,0.923902
2020-01-01 02:50:00,0.849701
2020-01-01 02:55:00,0.931308
2020-01-01 03:00:00,0.866630
2020-01-01 03:05:00,0.908809
2020-01-01 03:10:00,0.886456
2020-01-01 03:15:00,0.937466
2020-01-01 03:20:00,0.864025
2020-01-01 03:25:00,0.985072
2020-01-01 03:30:00,0.877796
2020-01-01 03:35:00,1.058419
2020-01-01 03:40:00,0.926662
2020-01-01 03:45:00,0.864779
2020-01-01 03:50:00,1.015772
2020-01-01 03:55:00,0.937981
2020-01-01 04:00:00,1.120780
2020-01-01 04:05:00,1.193650
2020-01-01 04:10:00,1.065459
2020-01-01 04:15:00,0.822575
2020-01-01 04:20:00,1.043234
2020-01-01 04:25:00,1.073265
2020-01-01 04:30:00,0.891970
2020-01-01 04:35:00,1.029324
2020-01-01 04:40:00,0.918443
2020-01-01 04:45:00,0.981047
2020-01-01 04:50:00,0.856616
2020-01-01 04:55:00,1.173983
2020-01-01 05:00:00,2.179464
2020-01-01 05:05:00,2.242649
2020-01-01 05:10:00,2.528904
2020-01-01 05:15:00,2.301577
2020-01-01 05:20:00,2.488374
2020-01-01 05:25:00,2.460706
2020-01-01 05:30:00,2.455510
2020-01-01 05:35:00,2.525665
2020-01-01 05:40:00,2.305644
2020-01-01 05:45:00,2.514382
2020-01-01 05:50:00,2.255654
2020-01-01 05:55:00,2.341943
2020-01-01 06:00:00,2.175314
2020-01-01 06:05:00,2.262719
2020-01-01 06:10:00,2.286442
2020-01-01 06:15:00,0.922029
2020-01-01 06:20:00,0.908052
2020-01-01 06:25:00,1.091845
2020-01-01 06:30:00,0.827990
2020-01-01 06:35:00,1.185315
2020-01-01 06:40:00,0.974919
